statistic,statistic_label,year,residence_adjustment_items,unit,value
EAA18C02,Carbon dioxide from biomass (CO2_BIO),2017,Air emissions by national residents abroad,Thousand Tonnes,20.2003
EAA18C02,Carbon dioxide from biomass (CO2_BIO),2017,Air emissions by national fishing vessels operating abroad,Thousand Tonnes,20.2003
EAA18C02,Carbon dioxide from biomass (CO2_BIO),2017,Air emissions from land transport by residents abroad,Thousand Tonnes,20.2003
EAA18C02,Carbon dioxide from biomass (CO2_BIO),2017,Air emissions from water transport by residents abroad,Thousand Tonnes,25.214
EAA18C02,Carbon dioxide from biomass (CO2_BIO),2017,Air emissions from air transport by residents abroad,Thousand Tonnes,30.2277
EAA18C02,Carbon dioxide from biomass (CO2_BIO),2017,Air emissions by non-residents on the territory,Thousand Tonnes,35.2414
EAA18C02,Carbon dioxide from biomass (CO2_BIO),2017,Air emissions from land transport by by non-residents on the territory,Thousand Tonnes,35.2414
EAA18C02,Carbon dioxide from biomass (CO2_BIO),2017,Air emissions from water transport by by non-residents on the territory,Thousand Tonnes,23.49426667
EAA18C02,Carbon dioxide from biomass (CO2_BIO),2017,Air emissions from air transport by non-residents on the territory,Thousand Tonnes,11.74713333
EAA18C02,Carbon dioxide from biomass (CO2_BIO),2017,"Total air emissions, without land use, land-use change and forestry, as reported to UNFCCC",Thousand Tonnes,2358.2404
EAA18C02,Carbon dioxide from biomass (CO2_BIO),2017,Total air emissions as reported to CLRTAP,Thousand Tonnes,2482.91375
EAA18C02,Carbon dioxide from biomass (CO2_BIO),2018,Total air emissions by resident units,Thousand Tonnes,2607.5871
EAA18C02,Carbon dioxide from biomass (CO2_BIO),2018,Air emissions by national residents abroad,Thousand Tonnes,16.5442
EAA18C02,Carbon dioxide from biomass (CO2_BIO),2018,Air emissions by national fishing vessels operating abroad,Thousand Tonnes,16.5442
EAA18C02,Carbon dioxide from biomass (CO2_BIO),2018,Air emissions from land transport by residents abroad,Thousand Tonnes,16.5442
EAA18C02,Carbon dioxide from biomass (CO2_BIO),2018,Air emissions from water transport by residents abroad,Thousand Tonnes,22.85626667
EAA18C02,Carbon dioxide from biomass (CO2_BIO),2018,Air emissions from air transport by residents abroad,Thousand Tonnes,29.16833333
EAA18C02,Carbon dioxide from biomass (CO2_BIO),2018,Air emissions by non-residents on the territory,Thousand Tonnes,35.4804
EAA18C02,Carbon dioxide from biomass (CO2_BIO),2018,Air emissions from land transport by by non-residents on the territory,Thousand Tonnes,35.4804
EAA18C02,Carbon dioxide from biomass (CO2_BIO),2018,Air emissions from water transport by by non-residents on the territory,Thousand Tonnes,23.6536
EAA18C02,Carbon dioxide from biomass (CO2_BIO),2018,Air emissions from air transport by non-residents on the territory,Thousand Tonnes,11.8268
EAA18C02,Carbon dioxide from biomass (CO2_BIO),2018,"Total air emissions, without land use, land-use change and forestry, as reported to UNFCCC",Thousand Tonnes,2626.5233
EAA18C02,Carbon dioxide from biomass (CO2_BIO),2018,Total air emissions as reported to CLRTAP,Thousand Tonnes,2634.47375
EAA18C02,Carbon dioxide from biomass (CO2_BIO),2019,Total air emissions by resident units,Thousand Tonnes,2642.4242
EAA18C02,Carbon dioxide from biomass (CO2_BIO),2019,Air emissions by national residents abroad,Thousand Tonnes,22.8062
EAA18C02,Carbon dioxide from biomass (CO2_BIO),2019,Air emissions by national fishing vessels operating abroad,Thousand Tonnes,22.8062
EAA18C02,Carbon dioxide from biomass (CO2_BIO),2019,Air emissions from land transport by residents abroad,Thousand Tonnes,22.8062
EAA18C02,Carbon dioxide from biomass (CO2_BIO),2019,Air emissions from water transport by residents abroad,Thousand Tonnes,33.00683333
EAA18C02,Carbon dioxide from biomass (CO2_BIO),2019,Air emissions from air transport by residents abroad,Thousand Tonnes,43.20746667
EAA18C02,Carbon dioxide from biomass (CO2_BIO),2019,Air emissions by non-residents on the territory,Thousand Tonnes,53.4081
EAA18C02,Carbon dioxide from biomass (CO2_BIO),2019,Air emissions from land transport by by non-residents on the territory,Thousand Tonnes,53.4081
EAA18C02,Carbon dioxide from biomass (CO2_BIO),2019,Air emissions from water transport by by non-residents on the territory,Thousand Tonnes,35.6054
EAA18C02,Carbon dioxide from biomass (CO2_BIO),2019,Air emissions from air transport by non-residents on the territory,Thousand Tonnes,17.8027
EAA18C02,Carbon dioxide from biomass (CO2_BIO),2019,"Total air emissions, without land use, land-use change and forestry, as reported to UNFCCC",Thousand Tonnes,2673.026
EAA18C02,Carbon dioxide from biomass (CO2_BIO),2019,Total air emissions as reported to CLRTAP,Thousand Tonnes,2661.869
EAA18C02,Carbon dioxide from biomass (CO2_BIO),2020,Total air emissions by resident units,Thousand Tonnes,2650.712
EAA18C02,Carbon dioxide from biomass (CO2_BIO),2020,Air emissions by national residents abroad,Thousand Tonnes,24.5078
EAA18C02,Carbon dioxide from biomass (CO2_BIO),2020,Air emissions by national fishing vessels operating abroad,Thousand Tonnes,24.5078
EAA18C02,Carbon dioxide from biomass (CO2_BIO),2020,Air emissions from land transport by residents abroad,Thousand Tonnes,24.5078
EAA18C02,Carbon dioxide from biomass (CO2_BIO),2020,Air emissions from water transport by residents abroad,Thousand Tonnes,26.00673333
EAA18C02,Carbon dioxide from biomass (CO2_BIO),2020,Air emissions from air transport by residents abroad,Thousand Tonnes,27.50566667
EAA18C02,Carbon dioxide from biomass (CO2_BIO),2020,Air emissions by non-residents on the territory,Thousand Tonnes,29.0046
EAA18C02,Carbon dioxide from biomass (CO2_BIO),2020,Air emissions from land transport by by non-residents on the territory,Thousand Tonnes,29.0046
EAA18C02,Carbon dioxide from biomass (CO2_BIO),2020,Air emissions from water transport by by non-residents on the territory,Thousand Tonnes,19.3364
EAA18C02,Carbon dioxide from biomass (CO2_BIO),2020,Air emissions from air transport by non-residents on the territory,Thousand Tonnes,9.6682
EAA18C02,Carbon dioxide from biomass (CO2_BIO),2020,"Total air emissions, without land use, land-use change and forestry, as reported to UNFCCC",Thousand Tonnes,2655.2088
EAA18C02,Carbon dioxide from biomass (CO2_BIO),2020,Total air emissions as reported to CLRTAP,Thousand Tonnes,2652.5223
EAA18C02,Carbon dioxide from biomass (CO2_BIO),2021,Total air emissions by resident units,Thousand Tonnes,2649.8358
EAA18C02,Carbon dioxide from biomass (CO2_BIO),2021,Air emissions by national residents abroad,Thousand Tonnes,22.6347
EAA18C02,Carbon dioxide from biomass (CO2_BIO),2021,Air emissions by national fishing vessels operating abroad,Thousand Tonnes,22.6347
EAA18C02,Carbon dioxide from biomass (CO2_BIO),2021,Air emissions from land transport by residents abroad,Thousand Tonnes,22.6347
EAA18C02,Carbon dioxide from biomass (CO2_BIO),2021,Air emissions from water transport by residents abroad,Thousand Tonnes,30.38573333
EAA18C02,Carbon dioxide from biomass (CO2_BIO),2021,Air emissions from air transport by residents abroad,Thousand Tonnes,38.13676667
EAA18C02,Carbon dioxide from biomass (CO2_BIO),2021,Air emissions by non-residents on the territory,Thousand Tonnes,45.8878
EAA18C02,Carbon dioxide from biomass (CO2_BIO),2021,Air emissions from land transport by by non-residents on the territory,Thousand Tonnes,45.8878
EAA18C02,Carbon dioxide from biomass (CO2_BIO),2021,Air emissions from water transport by by non-residents on the territory,Thousand Tonnes,30.59186667
EAA18C02,Carbon dioxide from biomass (CO2_BIO),2021,Air emissions from air transport by non-residents on the territory,Thousand Tonnes,15.29593333
EAA18C02,Carbon dioxide from biomass (CO2_BIO),2021,"Total air emissions, without land use, land-use change and forestry, as reported to UNFCCC",Thousand Tonnes,2673.0889
EAA18C02,Carbon dioxide from biomass (CO2_BIO),2021,Total air emissions as reported to CLRTAP,Thousand Tonnes,2756.80435
EAA18C02,Carbon dioxide from biomass (CO2_BIO),2022,Total air emissions by resident units,Thousand Tonnes,2840.5198
EAA18C02,Carbon dioxide from biomass (CO2_BIO),2022,Air emissions by national residents abroad,Thousand Tonnes,25.917
EAA18C02,Carbon dioxide from biomass (CO2_BIO),2022,Air emissions by national fishing vessels operating abroad,Thousand Tonnes,25.917
EAA18C02,Carbon dioxide from biomass (CO2_BIO),2022,Air emissions from land transport by residents abroad,Thousand Tonnes,25.917
EAA18C02,Carbon dioxide from biomass (CO2_BIO),2022,Air emissions from water transport by residents abroad,Thousand Tonnes,34.38756667
EAA18C02,Carbon dioxide from biomass (CO2_BIO),2022,Air emissions from air transport by residents abroad,Thousand Tonnes,42.85813333
EAA18C02,Carbon dioxide from biomass (CO2_BIO),2022,Air emissions by non-residents on the territory,Thousand Tonnes,51.3287
EAA18C02,Carbon dioxide from biomass (CO2_BIO),2022,Air emissions from land transport by by non-residents on the territory,Thousand Tonnes,51.3287
EAA18C02,Carbon dioxide from biomass (CO2_BIO),2022,Air emissions from water transport by by non-residents on the territory,Thousand Tonnes,34.21913333
EAA18C02,Carbon dioxide from biomass (CO2_BIO),2022,Air emissions from air transport by non-residents on the territory,Thousand Tonnes,17.10956667
EAA18C02,Carbon dioxide from biomass (CO2_BIO),2022,"Total air emissions, without land use, land-use change and forestry, as reported to UNFCCC",Thousand Tonnes,2865.9314
EAA18C02,Carbon dioxide from biomass (CO2_BIO),2022,Total air emissions as reported to CLRTAP,Thousand Tonnes,1941.30815
EAA18C03,Hydrofluorocarbons in CO2 equivalent (HFC_CO2E),2010,Total air emissions by resident units,Thousand Tonnes,1016.6849
EAA18C03,Hydrofluorocarbons in CO2 equivalent (HFC_CO2E),2010,"Total air emissions, without land use, land-use change and forestry, as reported to UNFCCC",Thousand Tonnes,1016.6849
EAA18C03,Hydrofluorocarbons in CO2 equivalent (HFC_CO2E),2010,Total air emissions as reported to CLRTAP,Thousand Tonnes,1029.08255
EAA18C03,Hydrofluorocarbons in CO2 equivalent (HFC_CO2E),2011,Total air emissions by resident units,Thousand Tonnes,1041.4802
EAA18C03,Hydrofluorocarbons in CO2 equivalent (HFC_CO2E),2011,"Total air emissions, without land use, land-use change and forestry, as reported to UNFCCC",Thousand Tonnes,1041.4802
EAA18C03,Hydrofluorocarbons in CO2 equivalent (HFC_CO2E),2011,Total air emissions as reported to CLRTAP,Thousand Tonnes,1036.3598
EAA18C03,Hydrofluorocarbons in CO2 equivalent (HFC_CO2E),2012,Total air emissions by resident units,Thousand Tonnes,1031.2394
EAA18C03,Hydrofluorocarbons in CO2 equivalent (HFC_CO2E),2012,"Total air emissions, without land use, land-use change and forestry, as reported to UNFCCC",Thousand Tonnes,1031.2394
EAA18C03,Hydrofluorocarbons in CO2 equivalent (HFC_CO2E),2012,Total air emissions as reported to CLRTAP,Thousand Tonnes,1046.0454
EAA18C03,Hydrofluorocarbons in CO2 equivalent (HFC_CO2E),2013,Total air emissions by resident units,Thousand Tonnes,1060.8514
EAA18C03,Hydrofluorocarbons in CO2 equivalent (HFC_CO2E),2013,"Total air emissions, without land use, land-use change and forestry, as reported to UNFCCC",Thousand Tonnes,1060.8514
EAA18C03,Hydrofluorocarbons in CO2 equivalent (HFC_CO2E),2013,Total air emissions as reported to CLRTAP,Thousand Tonnes,1099.93395
EAA18C03,Hydrofluorocarbons in CO2 equivalent (HFC_CO2E),2014,Total air emissions by resident units,Thousand Tonnes,1139.0165
EAA18C03,Hydrofluorocarbons in CO2 equivalent (HFC_CO2E),2014,"Total air emissions, without land use, land-use change and forestry, as reported to UNFCCC",Thousand Tonnes,1139.0165
EAA18C03,Hydrofluorocarbons in CO2 equivalent (HFC_CO2E),2014,Total air emissions as reported to CLRTAP,Thousand Tonnes,1127.50485
EAA18C03,Hydrofluorocarbons in CO2 equivalent (HFC_CO2E),2015,Total air emissions by resident units,Thousand Tonnes,1115.9932
EAA18C03,Hydrofluorocarbons in CO2 equivalent (HFC_CO2E),2015,"Total air emissions, without land use, land-use change and forestry, as reported to UNFCCC",Thousand Tonnes,1115.9932
EAA18C03,Hydrofluorocarbons in CO2 equivalent (HFC_CO2E),2015,Total air emissions as reported to CLRTAP,Thousand Tonnes,1149.7996
EAA18C03,Hydrofluorocarbons in CO2 equivalent (HFC_CO2E),2016,Total air emissions by resident units,Thousand Tonnes,1183.606
EAA18C03,Hydrofluorocarbons in CO2 equivalent (HFC_CO2E),2016,"Total air emissions, without land use, land-use change and forestry, as reported to UNFCCC",Thousand Tonnes,1183.606
EAA18C03,Hydrofluorocarbons in CO2 equivalent (HFC_CO2E),2016,Total air emissions as reported to CLRTAP,Thousand Tonnes,1138.53155
EAA18C03,Hydrofluorocarbons in CO2 equivalent (HFC_CO2E),2017,Total air emissions by resident units,Thousand Tonnes,1093.4571
EAA18C03,Hydrofluorocarbons in CO2 equivalent (HFC_CO2E),2017,"Total air emissions, without land use, land-use change and forestry, as reported to UNFCCC",Thousand Tonnes,1093.4571
EAA18C03,Hydrofluorocarbons in CO2 equivalent (HFC_CO2E),2017,Total air emissions as reported to CLRTAP,Thousand Tonnes,938.19985
EAA18C03,Hydrofluorocarbons in CO2 equivalent (HFC_CO2E),2018,Total air emissions by resident units,Thousand Tonnes,782.9426
EAA18C03,Hydrofluorocarbons in CO2 equivalent (HFC_CO2E),2018,"Total air emissions, without land use, land-use change and forestry, as reported to UNFCCC",Thousand Tonnes,782.9426
EAA18C03,Hydrofluorocarbons in CO2 equivalent (HFC_CO2E),2018,Total air emissions as reported to CLRTAP,Thousand Tonnes,776.7881
EAA18C03,Hydrofluorocarbons in CO2 equivalent (HFC_CO2E),2019,Total air emissions by resident units,Thousand Tonnes,770.6336
EAA18C03,Hydrofluorocarbons in CO2 equivalent (HFC_CO2E),2019,"Total air emissions, without land use, land-use change and forestry, as reported to UNFCCC",Thousand Tonnes,770.6336
EAA18C03,Hydrofluorocarbons in CO2 equivalent (HFC_CO2E),2019,Total air emissions as reported to CLRTAP,Thousand Tonnes,696.01875
EAA18C03,Hydrofluorocarbons in CO2 equivalent (HFC_CO2E),2020,Total air emissions by resident units,Thousand Tonnes,621.4039
EAA18C03,Hydrofluorocarbons in CO2 equivalent (HFC_CO2E),2020,"Total air emissions, without land use, land-use change and forestry, as reported to UNFCCC",Thousand Tonnes,621.4039
EAA18C03,Hydrofluorocarbons in CO2 equivalent (HFC_CO2E),2020,Total air emissions as reported to CLRTAP,Thousand Tonnes,641.25525
EAA18C03,Hydrofluorocarbons in CO2 equivalent (HFC_CO2E),2021,Total air emissions by resident units,Thousand Tonnes,661.1066
EAA18C03,Hydrofluorocarbons in CO2 equivalent (HFC_CO2E),2021,"Total air emissions, without land use, land-use change and forestry, as reported to UNFCCC",Thousand Tonnes,661.1066
EAA18C03,Hydrofluorocarbons in CO2 equivalent (HFC_CO2E),2021,Total air emissions as reported to CLRTAP,Thousand Tonnes,663.7625
EAA18C03,Hydrofluorocarbons in CO2 equivalent (HFC_CO2E),2022,Total air emissions by resident units,Thousand Tonnes,666.4184
EAA18C03,Hydrofluorocarbons in CO2 equivalent (HFC_CO2E),2022,"Total air emissions, without land use, land-use change and forestry, as reported to UNFCCC",Thousand Tonnes,666.4184
EAA18C03,Hydrofluorocarbons in CO2 equivalent (HFC_CO2E),2022,Total air emissions as reported to CLRTAP,Thousand Tonnes,261107.1708
EAA18C04,Methane (CH4),2010,Total air emissions by resident units,Tonnes,521547.9232
EAA18C04,Methane (CH4),2010,Air emissions by national residents abroad,Tonnes,16.3715
EAA18C04,Methane (CH4),2010,Air emissions by national fishing vessels operating abroad,Tonnes,16.3715
EAA18C04,Methane (CH4),2010,Air emissions from land transport by residents abroad,Tonnes,16.3715
EAA18C04,Methane (CH4),2010,Air emissions from water transport by residents abroad,Tonnes,23.59533333
EAA18C04,Methane (CH4),2010,Air emissions from air transport by residents abroad,Tonnes,30.81916667
EAA18C04,Methane (CH4),2010,Air emissions by non-residents on the territory,Tonnes,38.043
EAA18C04,Methane (CH4),2010,Air emissions from land transport by by non-residents on the territory,Tonnes,38.043
EAA18C04,Methane (CH4),2010,Air emissions from water transport by by non-residents on the territory,Tonnes,25.362
EAA18C04,Methane (CH4),2010,Air emissions from air transport by non-residents on the territory,Tonnes,12.681
EAA18C04,Methane (CH4),2010,"Total air emissions, without land use, land-use change and forestry, as reported to UNFCCC",Tonnes,521569.5947
EAA18C04,Methane (CH4),2010,Total air emissions as reported to CLRTAP,Tonnes,520754.7424
EAA18C04,Methane (CH4),2011,Total air emissions by resident units,Tonnes,519939.89
EAA18C04,Methane (CH4),2011,Air emissions by national residents abroad,Tonnes,13.8205
EAA18C04,Methane (CH4),2011,Air emissions by national fishing vessels operating abroad,Tonnes,13.8205
EAA18C04,Methane (CH4),2011,Air emissions from land transport by residents abroad,Tonnes,13.8205
EAA18C04,Methane (CH4),2011,Air emissions from water transport by residents abroad,Tonnes,20.23273333
EAA18C04,Methane (CH4),2011,Air emissions from air transport by residents abroad,Tonnes,26.64496667
EAA18C04,Methane (CH4),2011,Air emissions by non-residents on the territory,Tonnes,33.0572
EAA18C04,Methane (CH4),2011,Air emissions from land transport by by non-residents on the territory,Tonnes,33.0572
EAA18C04,Methane (CH4),2011,Air emissions from water transport by by non-residents on the territory,Tonnes,22.03813333
EAA18C04,Methane (CH4),2011,Air emissions from air transport by non-residents on the territory,Tonnes,11.01906667
EAA18C04,Methane (CH4),2011,"Total air emissions, without land use, land-use change and forestry, as reported to UNFCCC",Tonnes,519959.1267
EAA18C04,Methane (CH4),2011,Total air emissions as reported to CLRTAP,Tonnes,533121.8952
EAA18C04,Methane (CH4),2012,Total air emissions by resident units,Tonnes,546284.6637
EAA18C04,Methane (CH4),2012,Air emissions by national residents abroad,Tonnes,11.8712
EAA18C04,Methane (CH4),2012,Air emissions by national fishing vessels operating abroad,Tonnes,11.8712
EAA18C04,Methane (CH4),2012,Air emissions from land transport by residents abroad,Tonnes,11.8712
EAA18C04,Methane (CH4),2012,Air emissions from water transport by residents abroad,Tonnes,15.79263333
EAA18C04,Methane (CH4),2012,Air emissions from air transport by residents abroad,Tonnes,19.71406667
EAA18C04,Methane (CH4),2012,Air emissions by non-residents on the territory,Tonnes,23.6355
EAA18C04,Methane (CH4),2012,Air emissions from land transport by by non-residents on the territory,Tonnes,23.6355
EAA18C04,Methane (CH4),2012,Air emissions from water transport by by non-residents on the territory,Tonnes,15.757
EAA18C04,Methane (CH4),2012,Air emissions from air transport by non-residents on the territory,Tonnes,7.8785
EAA18C04,Methane (CH4),2012,"Total air emissions, without land use, land-use change and forestry, as reported to UNFCCC",Tonnes,546296.428
EAA18C04,Methane (CH4),2012,Total air emissions as reported to CLRTAP,Tonnes,551790.9471
EAA18C04,Methane (CH4),2013,Total air emissions by resident units,Tonnes,557285.4663
EAA18C04,Methane (CH4),2013,Air emissions by national residents abroad,Tonnes,8.5075
EAA18C04,Methane (CH4),2013,Air emissions by national fishing vessels operating abroad,Tonnes,8.5075
EAA18C04,Methane (CH4),2013,Air emissions from land transport by residents abroad,Tonnes,8.5075
EAA18C04,Methane (CH4),2013,Air emissions from water transport by residents abroad,Tonnes,13.16476667
EAA18C04,Methane (CH4),2013,Air emissions from air transport by residents abroad,Tonnes,17.82203333
EAA18C04,Methane (CH4),2013,Air emissions by non-residents on the territory,Tonnes,22.4793
EAA18C04,Methane (CH4),2013,Air emissions from land transport by by non-residents on the territory,Tonnes,22.4793
EAA18C04,Methane (CH4),2013,Air emissions from water transport by by non-residents on the territory,Tonnes,14.9862
EAA18C04,Methane (CH4),2013,Air emissions from air transport by non-residents on the territory,Tonnes,7.4931
EAA18C04,Methane (CH4),2013,"Total air emissions, without land use, land-use change and forestry, as reported to UNFCCC",Tonnes,557299.4381
EAA18C04,Methane (CH4),2013,Total air emissions as reported to CLRTAP,Tonnes,558822.0013
EAA18C04,Methane (CH4),2014,Total air emissions by resident units,Tonnes,560344.5644
EAA18C04,Methane (CH4),2014,Air emissions by national residents abroad,Tonnes,8.113
EAA18C04,Methane (CH4),2014,Air emissions by national fishing vessels operating abroad,Tonnes,8.113
EAA18C04,Methane (CH4),2014,Air emissions from land transport by residents abroad,Tonnes,8.113
EAA18C04,Methane (CH4),2014,Air emissions from water transport by residents abroad,Tonnes,13.9491
EAA18C04,Methane (CH4),2014,Air emissions from air transport by residents abroad,Tonnes,19.7852
EAA18C04,Methane (CH4),2014,Air emissions by non-residents on the territory,Tonnes,25.6213
EAA18C04,Methane (CH4),2014,Air emissions from land transport by by non-residents on the territory,Tonnes,25.6213
EAA18C04,Methane (CH4),2014,Air emissions from water transport by by non-residents on the territory,Tonnes,17.08086667
EAA18C04,Methane (CH4),2014,Air emissions from air transport by non-residents on the territory,Tonnes,8.540433333
EAA18C04,Methane (CH4),2014,"Total air emissions, without land use, land-use change and forestry, as reported to UNFCCC",Tonnes,560362.0728
EAA18C04,Methane (CH4),2014,Total air emissions as reported to CLRTAP,Tonnes,570549.1862
EAA18C04,Methane (CH4),2015,Total air emissions by resident units,Tonnes,580736.2995
EAA18C04,Methane (CH4),2015,Air emissions by national residents abroad,Tonnes,6.9199
EAA18C04,Methane (CH4),2015,Air emissions by national fishing vessels operating abroad,Tonnes,6.9199
EAA18C04,Methane (CH4),2015,Air emissions from land transport by residents abroad,Tonnes,6.9199
EAA18C04,Methane (CH4),2015,Air emissions from water transport by residents abroad,Tonnes,16.5879
EAA18C04,Methane (CH4),2015,Air emissions from air transport by residents abroad,Tonnes,26.2559
EAA18C04,Methane (CH4),2015,Air emissions by non-residents on the territory,Tonnes,35.9239
EAA18C04,Methane (CH4),2015,Air emissions from land transport by by non-residents on the territory,Tonnes,35.9239
EAA18C04,Methane (CH4),2015,Air emissions from water transport by by non-residents on the territory,Tonnes,23.94926667
EAA18C04,Methane (CH4),2015,Air emissions from air transport by non-residents on the territory,Tonnes,11.97463333
EAA18C04,Methane (CH4),2015,"Total air emissions, without land use, land-use change and forestry, as reported to UNFCCC",Tonnes,580765.3035
EAA18C04,Methane (CH4),2015,Total air emissions as reported to CLRTAP,Tonnes,588566.4631
EAA18C04,Methane (CH4),2016,Total air emissions by resident units,Tonnes,596367.6227
EAA18C04,Methane (CH4),2016,Air emissions by national residents abroad,Tonnes,6.3576
EAA18C04,Methane (CH4),2016,Air emissions by national fishing vessels operating abroad,Tonnes,6.3576
EAA18C04,Methane (CH4),2016,Air emissions from land transport by residents abroad,Tonnes,6.3576
EAA18C04,Methane (CH4),2016,Air emissions from water transport by residents abroad,Tonnes,12.37743333
EAA18C04,Methane (CH4),2016,Air emissions from air transport by residents abroad,Tonnes,18.39726667
EAA18C04,Methane (CH4),2016,Air emissions by non-residents on the territory,Tonnes,24.4171
EAA18C04,Methane (CH4),2016,Air emissions from land transport by by non-residents on the territory,Tonnes,24.4171
EAA18C04,Methane (CH4),2016,Air emissions from water transport by by non-residents on the territory,Tonnes,16.27806667
EAA18C04,Methane (CH4),2016,Air emissions from air transport by non-residents on the territory,Tonnes,8.139033333
EAA18C04,Methane (CH4),2016,"Total air emissions, without land use, land-use change and forestry, as reported to UNFCCC",Tonnes,596385.6821
EAA18C04,Methane (CH4),2016,Total air emissions as reported to CLRTAP,Tonnes,605029.0995
EAA18C04,Methane (CH4),2017,Total air emissions by resident units,Tonnes,613672.5169
EAA18C04,Methane (CH4),2017,Air emissions by national residents abroad,Tonnes,5.7093
EAA18C04,Methane (CH4),2017,Air emissions by national fishing vessels operating abroad,Tonnes,5.7093
EAA18C04,Methane (CH4),2017,Air emissions from land transport by residents abroad,Tonnes,5.7093
EAA18C04,Methane (CH4),2017,Air emissions from water transport by residents abroad,Tonnes,7.126366667
EAA18C04,Methane (CH4),2017,Air emissions from air transport by residents abroad,Tonnes,8.543433333
EAA18C04,Methane (CH4),2017,Air emissions by non-residents on the territory,Tonnes,9.9605
EAA18C04,Methane (CH4),2017,Air emissions from land transport by by non-residents on the territory,Tonnes,9.9605
EAA18C04,Methane (CH4),2017,Air emissions from water transport by by non-residents on the territory,Tonnes,6.640333333
EAA18C04,Methane (CH4),2017,Air emissions from air transport by non-residents on the territory,Tonnes,3.320166667
EAA18C04,Methane (CH4),2017,"Total air emissions, without land use, land-use change and forestry, as reported to UNFCCC",Tonnes,613676.7681
EAA18C04,Methane (CH4),2017,Total air emissions as reported to CLRTAP,Tonnes,619941.6534
EAA18C04,Methane (CH4),2018,Total air emissions by resident units,Tonnes,626206.5387
EAA18C04,Methane (CH4),2018,Air emissions by national residents abroad,Tonnes,4.224
EAA18C04,Methane (CH4),2018,Air emissions by national fishing vessels operating abroad,Tonnes,4.224
EAA18C04,Methane (CH4),2018,Air emissions from land transport by residents abroad,Tonnes,4.224
EAA18C04,Methane (CH4),2018,Air emissions from water transport by residents abroad,Tonnes,5.8356
EAA18C04,Methane (CH4),2018,Air emissions from air transport by residents abroad,Tonnes,7.4472
EAA18C04,Methane (CH4),2018,Air emissions by non-residents on the territory,Tonnes,9.0588
EAA18C04,Methane (CH4),2018,Air emissions from land transport by by non-residents on the territory,Tonnes,9.0588
EAA18C04,Methane (CH4),2018,Air emissions from water transport by by non-residents on the territory,Tonnes,6.0392
EAA18C04,Methane (CH4),2018,Air emissions from air transport by non-residents on the territory,Tonnes,3.0196
EAA18C04,Methane (CH4),2018,"Total air emissions, without land use, land-use change and forestry, as reported to UNFCCC",Tonnes,626211.3734
EAA18C04,Methane (CH4),2018,Total air emissions as reported to CLRTAP,Tonnes,616970.4613
EAA18C04,Methane (CH4),2019,Total air emissions by resident units,Tonnes,607729.5492
EAA18C04,Methane (CH4),2019,Air emissions by national residents abroad,Tonnes,4.0943
EAA18C04,Methane (CH4),2019,Air emissions by national fishing vessels operating abroad,Tonnes,4.0943
EAA18C04,Methane (CH4),2019,Air emissions from land transport by residents abroad,Tonnes,4.0943
EAA18C04,Methane (CH4),2019,Air emissions from water transport by residents abroad,Tonnes,6.276333333
EAA18C04,Methane (CH4),2019,Air emissions from air transport by residents abroad,Tonnes,8.458366667
EAA18C04,Methane (CH4),2019,Air emissions by non-residents on the territory,Tonnes,10.6404
EAA18C04,Methane (CH4),2019,Air emissions from land transport by by non-residents on the territory,Tonnes,10.6404
EAA18C04,Methane (CH4),2019,Air emissions from water transport by by non-residents on the territory,Tonnes,7.0936
EAA18C04,Methane (CH4),2019,Air emissions from air transport by non-residents on the territory,Tonnes,3.5468
EAA18C04,Methane (CH4),2019,"Total air emissions, without land use, land-use change and forestry, as reported to UNFCCC",Tonnes,607736.0954
EAA18C04,Methane (CH4),2019,Total air emissions as reported to CLRTAP,Tonnes,611832.3436
EAA18C04,Methane (CH4),2020,Total air emissions by resident units,Tonnes,615928.5917
EAA18C04,Methane (CH4),2020,Air emissions by national residents abroad,Tonnes,3.2189
EAA18C04,Methane (CH4),2020,Air emissions by national fishing vessels operating abroad,Tonnes,3.2189
EAA18C04,Methane (CH4),2020,Air emissions from land transport by residents abroad,Tonnes,3.2189
EAA18C04,Methane (CH4),2020,Air emissions from water transport by residents abroad,Tonnes,3.415766667
EAA18C04,Methane (CH4),2020,Air emissions from air transport by residents abroad,Tonnes,3.612633333
EAA18C04,Methane (CH4),2020,Air emissions by non-residents on the territory,Tonnes,3.8095
EAA18C04,Methane (CH4),2020,Air emissions from land transport by by non-residents on the territory,Tonnes,3.8095
EAA18C04,Methane (CH4),2020,Air emissions from water transport by by non-residents on the territory,Tonnes,2.539666667
EAA18C04,Methane (CH4),2020,Air emissions from air transport by non-residents on the territory,Tonnes,1.269833333
EAA18C04,Methane (CH4),2020,"Total air emissions, without land use, land-use change and forestry, as reported to UNFCCC",Tonnes,615929.1823
EAA18C04,Methane (CH4),2020,Total air emissions as reported to CLRTAP,Tonnes,621760.1518
EAA18C04,Methane (CH4),2021,Total air emissions by resident units,Tonnes,627591.1212
EAA18C04,Methane (CH4),2021,Air emissions by national residents abroad,Tonnes,2.5468
EAA18C04,Methane (CH4),2021,Air emissions by national fishing vessels operating abroad,Tonnes,2.5468
EAA18C04,Methane (CH4),2021,Air emissions from land transport by residents abroad,Tonnes,2.5468
EAA18C04,Methane (CH4),2021,Air emissions from water transport by residents abroad,Tonnes,3.418933333
